"Pressure","Velocity:0","Velocity:1","Velocity:2","Nu_Tilde","Pressure_Coefficient","Density","Laminar_Viscosity","Skin_Friction_Coefficient:0","Skin_Friction_Coefficient:1","Skin_Friction_Coefficient:2","Heat_Flux","Y_Plus","Eddy_Viscosity","Points:0","Points:1","Points:2"
-0.13659,0,0,0,0,-0.27318,1,1.6667e-07,0.00356,0.00014202,0,-0,0.2065,0,0.4052,-0.057179,0
-0.13933,0,0,0,0,-0.27866,1,1.6667e-07,0.0035942,0.00013307,0,-0,0.20748,0,0.39575,-0.057543,0
-0.14206,0,0,0,0,-0.28411,1,1.6667e-07,0.0036288,0.00012366,0,-0,0.20847,0,0.38638,-0.057876,0
-0.14476,0,0,0,0,-0.28952,1,1.6667e-07,0.0036637,0.00011377,0,-0,0.20946,0,0.37708,-0.058179,0
-0.14744,0,0,0,0,-0.29487,1,1.6667e-07,0.0036989,0.00010339,0,-0,0.21046,0,0.36787,-0.058451,0
-0.15009,0,0,0,0,-0.30017,1,1.6667e-07,0.0037345,9.251e-05,0,-0,0.21146,0,0.35875,-0.058691,0
-0.15271,0,0,0,0,-0.30541,1,1.6667e-07,0.0037703,8.1109e-05,0,-0,0.21247,0,0.34972,-0.0589,0
-0.15529,0,0,0,0,-0.31058,1,1.6667e-07,0.0038064,6.9179e-05,0,-0,0.21348,0,0.34079,-0.059078,0
-0.15784,0,0,0,0,-0.31567,1,1.6667e-07,0.0038427,5.6705e-05,0,-0,0.2145,0,0.33197,-0.059223,0
-0.16034,0,0,0,0,-0.32068,1,1.6667e-07,0.0038793,4.3678e-05,0,-0,0.21552,0,0.32325,-0.059337,0
-0.1628,0,0,0,0,-0.32561,1,1.6667e-07,0.003916,3.0084e-05,0,-0,0.21653,0,0.31465,-0.059418,0
-0.16522,0,0,0,0,-0.33044,1,1.6667e-07,0.0039529,1.5914e-05,0,-0,0.21756,0,0.30616,-0.059468,0
-0.16759,0,0,0,0,-0.33517,1,1.6667e-07,0.0039902,1.1539e-06,0,-0,0.21859,0,0.2978,-0.059486,0
-0.1699,0,0,0,0,-0.3398,1,1.6667e-07,0.0040272,-1.4204e-05,0,-0,0.2196,0,0.28955,-0.059473,0
-0.17216,0,0,0,0,-0.34431,1,1.6667e-07,0.0040647,-3.0171e-05,0,-0,0.22063,0,0.28144,-0.059428,0
