   XB-NEW,    YB-NEW  ,   XB-SYM   ,   YB-SYM   ,  CAMBER-Y  , CAMBER-dY/dX 
 0   0   1   1   6  
    0.026426   -0.026817    0.000000    0.000000    0.000000    0.000000
    0.028052   -0.027553    0.000000    0.000000    0.000000    0.000000
    0.029727   -0.028284    0.000000    0.000000    0.000000    0.000000
    0.031449   -0.029010    0.000000    0.000000    0.000000    0.000000
    0.033221   -0.029731    0.000000    0.000000    0.000000    0.000000
    0.035041   -0.030446    0.000000    0.000000    0.000000    0.000000
    0.036909   -0.031155    0.000000    0.000000    0.000000    0.000000
    0.038826   -0.031858    0.000000    0.000000    0.000000    0.000000
    0.040792   -0.032556    0.000000    0.000000    0.000000    0.000000
    0.042806   -0.033247    0.000000    0.000000    0.000000    0.000000
    0.044869   -0.033932    0.000000    0.000000    0.000000    0.000000
    0.046980   -0.034612    0.000000    0.000000    0.000000    0.000000
    0.049140   -0.035285    0.000000    0.000000    0.000000    0.000000
    0.051348   -0.035951    0.000000    0.000000    0.000000    0.000000
    0.053605   -0.036611    0.000000    0.000000    0.000000    0.000000
    0.055910   -0.037265    0.000000    0.000000    0.000000    0.000000
    0.058264   -0.037911    0.000000    0.000000    0.000000    0.000000
    0.060666   -0.038551    0.000000    0.000000    0.000000    0.000000
    0.063117   -0.039184    0.000000    0.000000    0.000000    0.000000
    0.065617   -0.039810    0.000000    0.000000    0.000000    0.000000
    0.068165   -0.040429    0.000000    0.000000    0.000000    0.000000
    0.070761   -0.041040    0.000000    0.000000    0.000000    0.000000
    0.073406   -0.041644    0.000000    0.000000    0.000000    0.000000
    0.076100   -0.042240    0.000000    0.000000    0.000000    0.000000
    0.078842   -0.042829    0.000000    0.000000    0.000000    0.000000
    0.081633   -0.043410    0.000000    0.000000    0.000000    0.000000
    0.084472   -0.043983    0.000000    0.000000    0.000000    0.000000
    0.087360   -0.044548    0.000000    0.000000    0.000000    0.000000
    0.090296   -0.045105    0.000000    0.000000    0.000000    0.000000
    0.093281   -0.045653    0.000000    0.000000    0.000000    0.000000
    0.096314   -0.046194    0.000000    0.000000    0.000000    0.000000
    0.099396   -0.046725    0.000000    0.000000    0.000000    0.000000
    0.102526   -0.047249    0.000000    0.000000    0.000000    0.000000
    0.105705   -0.047763    0.000000    0.000000    0.000000    0.000000
    0.108933   -0.048268    0.000000    0.000000    0.000000    0.000000
    0.112208   -0.048765    0.000000    0.000000    0.000000    0.000000
    0.115533   -0.049252    0.000000    0.000000    0.000000    0.000000
    0.118906   -0.049730    0.000000    0.000000    0.000000    0.000000
    0.122328   -0.050199    0.000000    0.000000    0.000000    0.000000
    0.125798   -0.050658    0.000000    0.000000    0.000000    0.000000
    0.129316   -0.051108    0.000000    0.000000    0.000000    0.000000
    0.132884   -0.051548    0.000000    0.000000    0.000000    0.000000
    0.136499   -0.051978    0.000000    0.000000    0.000000    0.000000
    0.140164   -0.052398    0.000000    0.000000    0.000000    0.000000
    0.143876   -0.052808    0.000000    0.000000    0.000000    0.000000
    0.147638   -0.053208    0.000000    0.000000    0.000000    0.000000
    0.151447   -0.053598    0.000000    0.000000    0.000000    0.000000
    0.155306   -0.053977    0.000000    0.000000    0.000000    0.000000
    0.159213   -0.054346    0.000000    0.000000    0.000000    0.000000
    0.163168   -0.054704    0.000000    0.000000    0.000000    0.000000
    0.167172   -0.055051    0.000000    0.000000    0.000000    0.000000
    0.171225   -0.055388    0.000000    0.000000    0.000000    0.000000
    0.175326   -0.055713    0.000000    0.000000    0.000000    0.000000
    0.179475   -0.056027    0.000000    0.000000    0.000000    0.000000
    0.183673   -0.056331    0.000000    0.000000    0.000000    0.000000
    0.187920   -0.056623    0.000000    0.000000    0.000000    0.000000
    0.192215   -0.056903    0.000000    0.000000    0.000000    0.000000
    0.196559   -0.057172    0.000000    0.000000    0.000000    0.000000
    0.200951   -0.057430    0.000000    0.000000    0.000000    0.000000
    0.205392   -0.057676    0.000000    0.000000    0.000000    0.000000
    0.209881   -0.057910    0.000000    0.000000    0.000000    0.000000
    0.214419   -0.058132    0.000000    0.000000    0.000000    0.000000
    0.219006   -0.058343    0.000000    0.000000    0.000000    0.000000
    0.223640   -0.058541    0.000000    0.000000    0.000000    0.000000
    0.228324   -0.058727    0.000000    0.000000    0.000000    0.000000
    0.233056   -0.058901    0.000000    0.000000    0.000000    0.000000
    0.237836   -0.059063    0.000000    0.000000    0.000000    0.000000
    0.242665   -0.059212    0.000000    0.000000    0.000000    0.000000
    0.247543   -0.059349    0.000000    0.000000    0.000000    0.000000
    0.252469   -0.059473    0.000000    0.000000    0.000000    0.000000
    0.257444   -0.059585    0.000000    0.000000    0.000000    0.000000
    0.262467   -0.059684    0.000000    0.000000    0.000000    0.000000
    0.267539   -0.059770    0.000000    0.000000    0.000000    0.000000
    0.272659   -0.059844    0.000000    0.000000    0.000000    0.000000
